"","single_use_utensil_bylaw_opinion","age","gender","education","household_income","location"
"319","Strongly support","Female","32","University undergraduate degree","$45,000-$49,999","EAST YORK"
"320","Somewhat support","Male","70","University undergraduate degree","$200,000-$249,999","YORK"
"321","Somewhat support","Male","42","Some high school","$35,000-$39,999","SCARBOROUGH"
"322","Strongly support","Female","52","Graduated from college / CEGEP / Trade School","$150,000-$199,999","TORONTO"
"323","Strongly support","Male","61","University undergraduate degree","$100,000-$124,999","TORONTO"
"324","Somewhat support","Male","70","Graduated from college / CEGEP / Trade School","Prefer not to answer","NORTH YORK"
"325","Strongly support","Female","48","University graduate degree","$100,000-$124,999","TORONTO"
"326","Strongly oppose","Male","49","University graduate degree","$125,000-$149,999","TORONTO"
"327","Strongly oppose","Female","68","Graduated from college / CEGEP / Trade School","$65,000-$69,999","NORTH YORK"
"328","Strongly support","Male","60","Some university, but did not finish","$60,000-$64,999","TORONTO"
"329","Neither support nor oppose","Male","30","University undergraduate degree","Prefer not to answer","EAST YORK"
"330","Somewhat support","Female","32","Some college / CEGEP / Trade School","$100,000-$124,999","EAST YORK"
"331","Strongly support","Male","34","University graduate degree","$95,000-$99,999","TORONTO"
"332","Strongly support","Female","26","University undergraduate degree","Prefer not to answer","SCARBOROUGH"
"333","Strongly support","Male","34","Some college / CEGEP / Trade School","$60,000-$64,999","SCARBOROUGH"
"334","Strongly support","Male","83","Graduated high school","$100,000-$124,999","TORONTO"
"335","Neither support nor oppose","Female","41","University graduate degree","$60,000-$64,999","ETOBICOKE"
"336","Somewhat support","Female","26","University undergraduate degree","$10,000-$14,999","EAST YORK"
"337","Somewhat support","Female","33","University graduate degree","$80,000-$84,999","TORONTO"
"338","Somewhat oppose","Female","39","Graduated from college / CEGEP / Trade School","Prefer not to answer","SCARBOROUGH"
"339","Strongly support","Male","69","University undergraduate degree","$95,000-$99,999","NORTH YORK"
"340","Don?t know","Female","46","Graduated from college / CEGEP / Trade School","Prefer not to answer","TORONTO"
"341","Strongly support","Female","69","University undergraduate degree","$20,000-$24,999","TORONTO"
"342","Strongly support","Female","25","University undergraduate degree","$20,000-$24,999","ETOBICOKE"
"343","Neither support nor oppose","Female","62","University undergraduate degree","$95,000-$99,999","TORONTO"
"344","Somewhat oppose","Male","67","University undergraduate degree","$125,000-$149,999","SCARBOROUGH"
"345","Strongly support","Male","63","University graduate degree","$100,000-$124,999","SCARBOROUGH"
"346","Somewhat support","Male","44","University graduate degree","$100,000-$124,999","TORONTO"
"347","Somewhat support","Female","51","Graduated from college / CEGEP / Trade School","$65,000-$69,999","SCARBOROUGH"
"348","Somewhat support","Female","68","Graduated from college / CEGEP / Trade School","$65,000-$69,999","SCARBOROUGH"
"349","Somewhat support","Male","55","Some college / CEGEP / Trade School","$85,000-$89,999","EAST YORK"
"350","Somewhat support","Female","81","University undergraduate degree","$85,000-$89,999","SCARBOROUGH"
"351","Strongly support","Male","19","Graduated high school","$70,000-$74,999","SCARBOROUGH"
"352","Neither support nor oppose","Male","29","Graduated from college / CEGEP / Trade School","$55,000-$59,999","NORTH YORK"
"353","Strongly support","Female","42","University undergraduate degree","$100,000-$124,999","TORONTO"
"354","Somewhat support","Male","27","University undergraduate degree","$55,000-$59,999","SCARBOROUGH"
"355","Strongly support","Male","16","Some high school","Prefer not to answer","TORONTO"
"356","Somewhat support","Male","62","Some college / CEGEP / Trade School","$75,000-$79,999","YORK"
"357","Somewhat oppose","Female","59","University undergraduate degree","$95,000-$99,999","ETOBICOKE"
"358","Somewhat support","Male","41","Some college / CEGEP / Trade School","$70,000-$74,999","SCARBOROUGH"
"359","Strongly support","Female","59","Some college / CEGEP / Trade School","$35,000-$39,999","SCARBOROUGH"
"360","Strongly support","Female","34","University undergraduate degree","$100,000-$124,999","TORONTO"
"361","Somewhat support","Female","54","Some high school","$10,000-$14,999","ETOBICOKE"
"362","Somewhat support","Female","55","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"363","Strongly support","Male","34","University undergraduate degree","$35,000-$39,999","NORTH YORK"
"364","Strongly support","Female","38","University undergraduate degree","$50,000-$54,999","ETOBICOKE"
"365","Strongly support","Male","47","University undergraduate degree","$150,000-$199,999","EAST YORK"
"366","Somewhat support","Female","28","Graduated from college / CEGEP / Trade School","$40,000-$44,999","TORONTO"
"367","Somewhat support","Male","65","Graduated high school","$70,000-$74,999","SCARBOROUGH"
"368","Strongly support","Male","39","Some college / CEGEP / Trade School","$70,000-$74,999","SCARBOROUGH"
"369","Somewhat support","Female","28","University graduate degree","$100,000-$124,999","TORONTO"
"370","Neither support nor oppose","Male","22","Graduated high school","$25,000-$29,999","SCARBOROUGH"
"371","Strongly support","Female","55","University graduate degree","$65,000-$69,999","SCARBOROUGH"
"372","Somewhat support","Male","39","Some university, but did not finish","$75,000-$79,999","YORK"
"373","Neither support nor oppose","Male","60","University undergraduate degree","$15,000-$19,999","EAST YORK"
"374","Neither support nor oppose","Female","19","Some high school","Less than $5,000","SCARBOROUGH"
"375","Strongly support","Female","44","Graduated high school","$50,000-$54,999","TORONTO"
"376","Strongly oppose","Female","69","Graduated high school","Prefer not to answer","SCARBOROUGH"
"377","Strongly support","Female","72","Some college / CEGEP / Trade School","$65,000-$69,999","SCARBOROUGH"
"378","Strongly support","Female","54","University graduate degree","Prefer not to answer","NORTH YORK"
"379","Strongly support","Male","63","University undergraduate degree","$100,000-$124,999","TORONTO"
"380","Strongly support","Male","39","University undergraduate degree","$100,000-$124,999","YORK"
"381","Neither support nor oppose","Male","23","Some high school","$15,000-$19,999","NORTH YORK"
"382","Strongly support","Female","31","University graduate degree","$150,000-$199,999","NORTH YORK"
"383","Somewhat support","Female","54","Graduated high school","$55,000-$59,999","ETOBICOKE"
"384","Somewhat oppose","Female","19","Some college / CEGEP / Trade School","$10,000-$14,999","SCARBOROUGH"
"385","Somewhat support","Female","56","Graduated high school","$45,000-$49,999","NORTH YORK"
"386","Strongly support","Female","20","Some university, but did not finish","$85,000-$89,999","SCARBOROUGH"
"387","Strongly support","Female","43","Graduated from college / CEGEP / Trade School","$40,000-$44,999","NORTH YORK"
"388","Somewhat support","Female","19","Some university, but did not finish","$35,000-$39,999","NORTH YORK"
"389","Strongly support","Female","43","University undergraduate degree","$70,000-$74,999","NORTH YORK"
"390","Somewhat support","Male","44","Graduated from college / CEGEP / Trade School","$70,000-$74,999","SCARBOROUGH"
"391","Neither support nor oppose","Female","49","Graduated high school","Prefer not to answer","NORTH YORK"
"392","Somewhat oppose","Female","61","Some college / CEGEP / Trade School","$95,000-$99,999","ETOBICOKE"
"393","Strongly support","Female","64","University undergraduate degree","$35,000-$39,999","ETOBICOKE"
"394","Strongly support","Female","60","University graduate degree","$45,000-$49,999","SCARBOROUGH"
"395","Somewhat oppose","Female","57","University graduate degree","$25,000-$29,999","NORTH YORK"
"396","Somewhat support","Female","62","University undergraduate degree","$150,000-$199,999","NORTH YORK"
"397","Strongly support","Male","52","Some university, but did not finish","$20,000-$24,999","SCARBOROUGH"
"398","Somewhat support","Male","42","University undergraduate degree","$35,000-$39,999","SCARBOROUGH"
"399","Neither support nor oppose","Male","70","Some college / CEGEP / Trade School","$125,000-$149,999","TORONTO"
"400","Strongly support","Female","30","Graduated from college / CEGEP / Trade School","$65,000-$69,999","SCARBOROUGH"
"401","Don?t know","Male","51","Graduated from college / CEGEP / Trade School","Prefer not to answer","SCARBOROUGH"
"402","Strongly support","Female","60","Some college / CEGEP / Trade School","$95,000-$99,999","TORONTO"
"403","Somewhat support","Male","51","Graduated from college / CEGEP / Trade School","$125,000-$149,999","NORTH YORK"
"404","Strongly support","Male","67","University undergraduate degree","$45,000-$49,999","TORONTO"
"405","Neither support nor oppose","Male","17","Some high school","$60,000-$64,999","TORONTO"
"406","Strongly support","Male","34","University graduate degree","$125,000-$149,999","TORONTO"
"407","Strongly support","Female","23","University graduate degree","$50,000-$54,999","NORTH YORK"
"408","Neither support nor oppose","Male","20","Some university, but did not finish","$45,000-$49,999","SCARBOROUGH"
"409","Strongly support","Female","31","University graduate degree","$125,000-$149,999","TORONTO"
"410","Somewhat support","Female","69","University graduate degree","$35,000-$39,999","TORONTO"
"411","Neither support nor oppose","Female","59","Graduated high school","$35,000-$39,999","ETOBICOKE"
"412","Somewhat support","Female","64","Some college / CEGEP / Trade School","$60,000-$64,999","SCARBOROUGH"
"413","Somewhat support","Male","24","Some college / CEGEP / Trade School","$80,000-$84,999","TORONTO"
"414","Somewhat oppose","Male","31","Graduated from college / CEGEP / Trade School","$85,000-$89,999","NORTH YORK"
"415","Strongly support","Male","33","University undergraduate degree","$80,000-$84,999","NORTH YORK"
"416","Strongly support","Male","31","University undergraduate degree","$100,000-$124,999","TORONTO"
"417","Strongly oppose","Male","39","Graduated from college / CEGEP / Trade School","$75,000-$79,999","YORK"
"418","Strongly support","Male","44","University graduate degree","$40,000-$44,999","SCARBOROUGH"
"419","Somewhat support","Male","43","Some university, but did not finish","$65,000-$69,999","SCARBOROUGH"
"420","Strongly support","Male","55","Graduated from college / CEGEP / Trade School","$100,000-$124,999","TORONTO"
"421","Strongly support","Male","64","University graduate degree","$40,000-$44,999","TORONTO"
"422","Strongly support","Female","62","Some college / CEGEP / Trade School","$45,000-$49,999","SCARBOROUGH"
"423","Strongly support","Male","63","Some university, but did not finish","$40,000-$44,999","TORONTO"
"424","Somewhat support","Female","31","Graduated from college / CEGEP / Trade School","$100,000-$124,999","ETOBICOKE"
"425","Neither support nor oppose","Female","31","Graduated from college / CEGEP / Trade School","Prefer not to answer","SCARBOROUGH"
"426","Neither support nor oppose","Female","45","Graduated high school","Prefer not to answer","SCARBOROUGH"
"427","Strongly support","Female","39","University graduate degree","$75,000-$79,999","NORTH YORK"
"428","Strongly oppose","Male","32","University undergraduate degree","$90,000-$94,999","SCARBOROUGH"
"429","Strongly support","Female","41","Graduated from college / CEGEP / Trade School","$40,000-$44,999","NORTH YORK"
"430","Somewhat support","Female","30","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"431","Strongly support","Female","28","University graduate degree","$125,000-$149,999","TORONTO"
"432","Somewhat support","Female","52","Graduated high school","Prefer not to answer","ETOBICOKE"
"433","Strongly oppose","Female","24","University undergraduate degree","Less than $5,000","SCARBOROUGH"
"434","Strongly support","Male","43","Graduated from college / CEGEP / Trade School","$95,000-$99,999","SCARBOROUGH"
"435","Neither support nor oppose","Female","70","Graduated from college / CEGEP / Trade School","$85,000-$89,999","SCARBOROUGH"
"436","Strongly oppose","Female","32","University graduate degree","$5,000-$9,999","EAST YORK"
"437","Strongly support","Female","44","Some college / CEGEP / Trade School","$65,000-$69,999","ETOBICOKE"
"438","Don?t know","Male","64","Graduated from college / CEGEP / Trade School","$10,000-$14,999","NORTH YORK"
"439","Strongly support","Male","34","University graduate degree","$55,000-$59,999","NORTH YORK"
"440","Strongly support","Female","35","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"441","Strongly support","Male","47","Some university, but did not finish","$65,000-$69,999","YORK"
"442","Neither support nor oppose","Female","39","Graduated from college / CEGEP / Trade School","$10,000-$14,999","SCARBOROUGH"
"443","Strongly oppose","Male","34","University undergraduate degree","$150,000-$199,999","TORONTO"
"444","Strongly support","Female","62","University undergraduate degree","$100,000-$124,999","TORONTO"
"445","Strongly support","Male","59","University undergraduate degree","$10,000-$14,999","TORONTO"
"446","Somewhat oppose","Male","63","University undergraduate degree","$125,000-$149,999","ETOBICOKE"
"447","Strongly support","Male","35","University graduate degree","$95,000-$99,999","TORONTO"
"448","Somewhat support","Female","74","Graduated from college / CEGEP / Trade School","$85,000-$89,999","NORTH YORK"
"449","Neither support nor oppose","Male","68","Graduated from college / CEGEP / Trade School","$50,000-$54,999","NORTH YORK"
"450","Somewhat support","Female","67","Graduated from college / CEGEP / Trade School","$65,000-$69,999","NORTH YORK"
"451","Somewhat oppose","Female","69","University graduate degree","$30,000-$34,999","NORTH YORK"
"452","Somewhat support","Male","40","University undergraduate degree","$90,000-$94,999","TORONTO"
"453","Strongly support","Male","44","Graduated high school","$5,000-$9,999","SCARBOROUGH"
"454","Somewhat oppose","Female","36","University undergraduate degree","Prefer not to answer","NORTH YORK"
"455","Somewhat oppose","Female","41","University undergraduate degree","$100,000-$124,999","YORK"
"456","Somewhat support","Female","38","Some college / CEGEP / Trade School","$25,000-$29,999","TORONTO"
"457","Neither support nor oppose","Female","70","Graduated high school","$45,000-$49,999","YORK"
"458","Strongly support","Female","55","University graduate degree","$100,000-$124,999","NORTH YORK"
"459","Strongly support","Female","42","Some university, but did not finish","$125,000-$149,999","NORTH YORK"
"460","Strongly support","Female","76","Graduated from college / CEGEP / Trade School","$50,000-$54,999","TORONTO"
"461","Strongly support","Female","44","Some college / CEGEP / Trade School","$35,000-$39,999","ETOBICOKE"
"462","Don?t know","Male","35","Graduated from college / CEGEP / Trade School","$55,000-$59,999","TORONTO"
"463","Strongly support","Female","64","University undergraduate degree","$45,000-$49,999","TORONTO"
"464","Strongly support","Female","48","University undergraduate degree","$55,000-$59,999","SCARBOROUGH"
"465","Somewhat support","Male","36","University undergraduate degree","$70,000-$74,999","TORONTO"
"466","Strongly support","Female","58","Some high school","$10,000-$14,999","TORONTO"
"467","Somewhat support","Female","40","University graduate degree","Prefer not to answer","ETOBICOKE"
"468","Strongly support","Female","41","University undergraduate degree","$150,000-$199,999","SCARBOROUGH"
"469","Somewhat support","Female","30","University graduate degree","$100,000-$124,999","TORONTO"
"470","Somewhat support","Female","69","Some university, but did not finish","Prefer not to answer","SCARBOROUGH"
"471","Strongly oppose","Female","52","Graduated high school","$35,000-$39,999","SCARBOROUGH"
"472","Neither support nor oppose","Female","29","University undergraduate degree","$85,000-$89,999","NORTH YORK"
"473","Strongly support","Male","29","University undergraduate degree","$50,000-$54,999","ETOBICOKE"
"474","Strongly support","Female","63","Some college / CEGEP / Trade School","$35,000-$39,999","SCARBOROUGH"
"475","Don?t know","Female","47","University undergraduate degree","Prefer not to answer","NORTH YORK"
"476","Strongly support","Female","21","Graduated high school","$65,000-$69,999","ETOBICOKE"
"477","Strongly support","Male","35","University graduate degree","$150,000-$199,999","SCARBOROUGH"
"478","Somewhat oppose","Male","33","Graduated from college / CEGEP / Trade School","$80,000-$84,999","NORTH YORK"
"479","Neither support nor oppose","Female","39","Graduated from college / CEGEP / Trade School","Prefer not to answer","SCARBOROUGH"
"480","Somewhat oppose","Female","51","University undergraduate degree","$150,000-$199,999","TORONTO"
"481","Strongly support","Male","74","Some college / CEGEP / Trade School","$60,000-$64,999","SCARBOROUGH"
"482","Strongly support","Female","67","Graduated from college / CEGEP / Trade School","$20,000-$24,999","ETOBICOKE"
"483","Neither support nor oppose","Male","33","University undergraduate degree","$95,000-$99,999","NORTH YORK"
"484","Somewhat support","Female","41","Graduated from college / CEGEP / Trade School","$125,000-$149,999","ETOBICOKE"
"485","Strongly support","Male","32","University graduate degree","$200,000-$249,999","TORONTO"
"486","Strongly support","Female","31","University undergraduate degree","$25,000-$29,999","SCARBOROUGH"
"487","Strongly support","Female","40","Graduated high school","$65,000-$69,999","YORK"
"488","Strongly support","Male","38","Some high school","$40,000-$44,999","TORONTO"
"489","Somewhat oppose","Female","58","University undergraduate degree","$65,000-$69,999","EAST YORK"
"490","Strongly support","Male","59","University undergraduate degree","$10,000-$14,999","TORONTO"
"491","Somewhat support","Male","36","University graduate degree","$125,000-$149,999","NORTH YORK"
"492","Strongly support","Female","66","University graduate degree","$95,000-$99,999","NORTH YORK"
"493","Strongly support","Female","72","University undergraduate degree","$95,000-$99,999","SCARBOROUGH"
"494","Strongly support","Female","52","Graduated from college / CEGEP / Trade School","$30,000-$34,999","TORONTO"
"495","Strongly support","Male","77","Graduated from college / CEGEP / Trade School","$100,000-$124,999","SCARBOROUGH"
"496","Strongly support","Male","66","University graduate degree","$150,000-$199,999","SCARBOROUGH"
"497","Somewhat support","Female","22","Graduated from college / CEGEP / Trade School","Less than $5,000","TORONTO"
"498","Strongly support","Female","19","University undergraduate degree","$40,000-$44,999","TORONTO"
"499","Neither support nor oppose","Female","38","University undergraduate degree","$85,000-$89,999","SCARBOROUGH"
"500","Strongly support","Female","58","University graduate degree","$35,000-$39,999","ETOBICOKE"
"501","Strongly support","Male","38","Graduated from college / CEGEP / Trade School","$50,000-$54,999","SCARBOROUGH"
"502","Somewhat oppose","Male","26","University undergraduate degree","$50,000-$54,999","SCARBOROUGH"
"503","Strongly oppose","Female","57","University graduate degree","Prefer not to answer","NORTH YORK"
"504","Strongly support","Male","36","Graduated from college / CEGEP / Trade School","$100,000-$124,999","NORTH YORK"
"505","Somewhat support","Female","21","Some university, but did not finish","$95,000-$99,999","TORONTO"
"506","Strongly support","Female","63","Some high school","$15,000-$19,999","TORONTO"
"507","Somewhat support","Female","28","University graduate degree","$55,000-$59,999","SCARBOROUGH"
"508","Somewhat support","Female","41","University undergraduate degree","$125,000-$149,999","TORONTO"
"509","Strongly support","Female","66","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"510","Strongly support","Female","61","Some university, but did not finish","$75,000-$79,999","SCARBOROUGH"
"511","Strongly support","Female","24","Graduated from college / CEGEP / Trade School","$15,000-$19,999","YORK"
"512","Somewhat support","Female","44","Graduated from college / CEGEP / Trade School","$100,000-$124,999","SCARBOROUGH"
"513","Strongly support","Female","63","Some college / CEGEP / Trade School","Prefer not to answer","NORTH YORK"
"514","Strongly support","Male","50","Graduated from college / CEGEP / Trade School","$95,000-$99,999","NORTH YORK"
"515","Strongly support","Female","83","Some university, but did not finish","$75,000-$79,999","NORTH YORK"
"516","Somewhat support","Female","37","University undergraduate degree","$125,000-$149,999","TORONTO"
"517","Neither support nor oppose","Male","34","University undergraduate degree","$125,000-$149,999","ETOBICOKE"
"518","Strongly support","Female","20","Graduated high school","$25,000-$29,999","TORONTO"
"519","Strongly support","Female","37","University graduate degree","$95,000-$99,999","TORONTO"
"520","Strongly support","Female","31","Graduated from college / CEGEP / Trade School","$55,000-$59,999","SCARBOROUGH"
"521","Strongly support","Female","30","Graduated from college / CEGEP / Trade School","$50,000-$54,999","NORTH YORK"
"522","Strongly support","Male","52","University undergraduate degree","Prefer not to answer","SCARBOROUGH"
"523","Somewhat support","Male","51","Graduated from college / CEGEP / Trade School","$25,000-$29,999","TORONTO"
"524","Strongly support","Male","63","Graduated from college / CEGEP / Trade School","$150,000-$199,999","TORONTO"
"525","Somewhat support","Female","47","Graduated from college / CEGEP / Trade School","$60,000-$64,999","SCARBOROUGH"
"526","Somewhat support","Male","30","University undergraduate degree","$65,000-$69,999","TORONTO"
"527","Neither support nor oppose","Male","49","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"528","Somewhat support","Female","70","Graduated from college / CEGEP / Trade School","$100,000-$124,999","SCARBOROUGH"
"529","Strongly support","Female","34","Graduated from college / CEGEP / Trade School","$250,000 or more","TORONTO"
"530","Strongly support","Female","59","University graduate degree","$150,000-$199,999","TORONTO"
"531","Somewhat support","Female","63","Some college / CEGEP / Trade School","$10,000-$14,999","TORONTO"
"532","Somewhat support","Female","66","Graduated from college / CEGEP / Trade School","$125,000-$149,999","NORTH YORK"
"533","Strongly support","Female","61","Graduated from college / CEGEP / Trade School","Prefer not to answer","NORTH YORK"
"534","Neither support nor oppose","Female","62","Graduated from college / CEGEP / Trade School","Prefer not to answer","NORTH YORK"
"535","Strongly support","Female","61","University graduate degree","$100,000-$124,999","TORONTO"
"536","Strongly support","Male","21","Some university, but did not finish","$55,000-$59,999","SCARBOROUGH"
"537","Somewhat support","Female","53","Graduated from college / CEGEP / Trade School","$35,000-$39,999","EAST YORK"
"538","Strongly support","Female","28","University graduate degree","$100,000-$124,999","SCARBOROUGH"
"539","Somewhat support","Female","41","University undergraduate degree","$100,000-$124,999","TORONTO"
"540","Strongly support","Male","63","University undergraduate degree","$200,000-$249,999","TORONTO"
"541","Strongly support","Male","31","University undergraduate degree","$200,000-$249,999","SCARBOROUGH"
"542","Strongly support","Female","33","Graduated from college / CEGEP / Trade School","Prefer not to answer","ETOBICOKE"
"543","Strongly support","Female","60","University graduate degree","$100,000-$124,999","TORONTO"
"544","Strongly support","Female","30","Graduated from college / CEGEP / Trade School","$70,000-$74,999","SCARBOROUGH"
"545","Somewhat support","Female","31","Graduated from college / CEGEP / Trade School","$125,000-$149,999","TORONTO"
"546","Strongly support","Female","31","Some college / CEGEP / Trade School","$55,000-$59,999","TORONTO"
"547","Strongly support","Female","34","Graduated from college / CEGEP / Trade School","$40,000-$44,999","NORTH YORK"
"548","Neither support nor oppose","Female","46","Some college / CEGEP / Trade School","$20,000-$24,999","NORTH YORK"
"549","Somewhat support","Male","52","University undergraduate degree","$45,000-$49,999","NORTH YORK"
"550","Strongly support","Female","23","University undergraduate degree","$5,000-$9,999","TORONTO"
"551","Don?t know","Male","53","Some high school","$45,000-$49,999","SCARBOROUGH"
"552","Somewhat oppose","Female","31","University undergraduate degree","Prefer not to answer","EAST YORK"
"553","Strongly support","Female","38","Graduated high school","$75,000-$79,999","ETOBICOKE"
"554","Somewhat support","Female","56","University undergraduate degree","$70,000-$74,999","SCARBOROUGH"
"555","Strongly support","Female","39","Graduated from college / CEGEP / Trade School","Prefer not to answer","SCARBOROUGH"
"556","Strongly support","Male","34","Graduated from college / CEGEP / Trade School","$85,000-$89,999","TORONTO"
"557","Neither support nor oppose","Female","18","Primary school or less","Prefer not to answer","NORTH YORK"
"558","Strongly oppose","Male","38","University undergraduate degree","$70,000-$74,999","SCARBOROUGH"
"559","Neither support nor oppose","Male","24","Some high school","$75,000-$79,999","NORTH YORK"
"560","Neither support nor oppose","Male","38","University graduate degree","$55,000-$59,999","ETOBICOKE"
"561","Somewhat support","Female","36","Some college / CEGEP / Trade School","Prefer not to answer","YORK"
"562","Strongly support","Female","38","Graduated from college / CEGEP / Trade School","$30,000-$34,999","SCARBOROUGH"
"563","Strongly support","Female","32","University graduate degree","$40,000-$44,999","NORTH YORK"
"564","Strongly support","Female","57","Graduated from college / CEGEP / Trade School","$100,000-$124,999","SCARBOROUGH"
"565","Somewhat support","Female","47","University undergraduate degree","$35,000-$39,999","EAST YORK"
"566","Don?t know","Male","48","Graduated high school","$40,000-$44,999","SCARBOROUGH"
"567","Strongly support","Female","46","Graduated from college / CEGEP / Trade School","$50,000-$54,999","ETOBICOKE"
"568","Neither support nor oppose","Male","23","University undergraduate degree","$15,000-$19,999","NORTH YORK"
"569","Strongly support","Female","33","University graduate degree","$70,000-$74,999","ETOBICOKE"
"570","Strongly support","Female","23","Some university, but did not finish","$95,000-$99,999","NORTH YORK"
"571","Strongly support","Female","56","Graduated from college / CEGEP / Trade School","Prefer not to answer","TORONTO"
"572","Somewhat support","Female","37","University undergraduate degree","$100,000-$124,999","ETOBICOKE"
"573","Strongly support","Female","29","University graduate degree","$85,000-$89,999","SCARBOROUGH"
"574","Somewhat support","Female","64","Some college / CEGEP / Trade School","$15,000-$19,999","SCARBOROUGH"
"575","Strongly support","Female","27","University graduate degree","$60,000-$64,999","SCARBOROUGH"
"576","Strongly support","Female","25","University undergraduate degree","$15,000-$19,999","EAST YORK"
"577","Somewhat support","Male","33","University undergraduate degree","$40,000-$44,999","TORONTO"
"578","Neither support nor oppose","Female","41","Graduated from college / CEGEP / Trade School","$85,000-$89,999","YORK"
"579","Strongly support","Male","34","University graduate degree","$125,000-$149,999","NORTH YORK"
"580","Neither support nor oppose","Male","22","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"581","Somewhat support","Female","42","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"582","Somewhat support","Female","49","Graduated from college / CEGEP / Trade School","$45,000-$49,999","NORTH YORK"
"583","Strongly support","Female","28","University undergraduate degree","$30,000-$34,999","TORONTO"
"584","Strongly support","Female","30","University graduate degree","$150,000-$199,999","TORONTO"
"585","Somewhat support","Male","34","Graduated from college / CEGEP / Trade School","$60,000-$64,999","NORTH YORK"
"586","Strongly support","Female","29","University graduate degree","$100,000-$124,999","TORONTO"
"587","Strongly support","Female","31","Graduated from college / CEGEP / Trade School","$15,000-$19,999","TORONTO"
"588","Strongly support","Male","27","Graduated high school","$45,000-$49,999","TORONTO"
"589","Strongly support","Female","20","Some university, but did not finish","$100,000-$124,999","TORONTO"
"590","Strongly support","Female","28","University undergraduate degree","Prefer not to answer","ETOBICOKE"
"591","Strongly support","Female","41","University graduate degree","Prefer not to answer","NORTH YORK"
"592","Strongly support","Female","35","University undergraduate degree","$125,000-$149,999","TORONTO"
"593","Somewhat support","Female","27","Graduated from college / CEGEP / Trade School","$90,000-$94,999","SCARBOROUGH"
"594","Somewhat support","Female","25","Graduated high school","$45,000-$49,999","EAST YORK"
"595","Somewhat support","Female","29","Graduated from college / CEGEP / Trade School","$25,000-$29,999","TORONTO"
"596","Strongly oppose","Female","38","Graduated from college / CEGEP / Trade School","$45,000-$49,999","SCARBOROUGH"
"597","Strongly oppose","Male","26","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"598","Somewhat support","Female","26","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"599","Somewhat oppose","Female","36","University undergraduate degree","$125,000-$149,999","TORONTO"
"600","Strongly support","Female","33","University undergraduate degree","$125,000-$149,999","ETOBICOKE"
"601","Somewhat support","Male","27","Graduated from college / CEGEP / Trade School","$25,000-$29,999","TORONTO"
"602","Strongly support","Female","20","Some university, but did not finish","$100,000-$124,999","TORONTO"
"603","Somewhat support","Male","63","Some high school","$35,000-$39,999","SCARBOROUGH"
"604","Somewhat support","Male","45","Graduated high school","$50,000-$54,999","NORTH YORK"
"605","Somewhat support","Male","56","University graduate degree","$50,000-$54,999","SCARBOROUGH"
"606","Neither support nor oppose","Male","30","Some university, but did not finish","$65,000-$69,999","NORTH YORK"
"607","Strongly support","Male","29","University graduate degree","$5,000-$9,999","SCARBOROUGH"
"608","Somewhat support","Male","18","Graduated high school","Less than $5,000","TORONTO"
"609","Strongly support","Female","18","Some high school","$50,000-$54,999","TORONTO"
"610","Neither support nor oppose","Male","35","University graduate degree","$150,000-$199,999","TORONTO"
"611","Somewhat support","Male","30","Graduated high school","$35,000-$39,999","TORONTO"
"612","Somewhat support","Female","35","University undergraduate degree","$50,000-$54,999","SCARBOROUGH"
"613","Neither support nor oppose","Female","39","University undergraduate degree","$125,000-$149,999","NORTH YORK"
"614","Don?t know","Male","42","University graduate degree","$40,000-$44,999","TORONTO"
"615","Strongly oppose","Male","36","Graduated from college / CEGEP / Trade School","$15,000-$19,999","TORONTO"
"616","Somewhat support","Female","34","Some college / CEGEP / Trade School","$30,000-$34,999","SCARBOROUGH"
"617","Somewhat support","Female","18","Some college / CEGEP / Trade School","$50,000-$54,999","NORTH YORK"
"618","Somewhat support","Female","23","University undergraduate degree","$15,000-$19,999","NORTH YORK"
"619","Strongly oppose","Female","38","University undergraduate degree","$200,000-$249,999","NORTH YORK"
"620","Somewhat support","Male","20","Some university, but did not finish","$200,000-$249,999","EAST YORK"
"621","Neither support nor oppose","Female","28","Graduated high school","$10,000-$14,999","TORONTO"
"622","Strongly oppose","Male","35","Some university, but did not finish","$20,000-$24,999","YORK"
"623","Somewhat oppose","Female","27","Graduated from college / CEGEP / Trade School","$25,000-$29,999","TORONTO"
"624","Strongly support","Female","59","Graduated from college / CEGEP / Trade School","$10,000-$14,999","TORONTO"
"625","Strongly support","Male","28","University undergraduate degree","$40,000-$44,999","ETOBICOKE"
"626","Somewhat oppose","Female","26","University undergraduate degree","$50,000-$54,999","NORTH YORK"
"627","Somewhat support","Female","20","Graduated high school","$75,000-$79,999","NORTH YORK"
"628","Somewhat support","Female","33","University undergraduate degree","$100,000-$124,999","TORONTO"
"629","Strongly support","Male","35","University graduate degree","$95,000-$99,999","TORONTO"
"630","Strongly support","Male","32","University undergraduate degree","$85,000-$89,999","SCARBOROUGH"
